cid,顧客名,plan,所在,cid_source
4b42e27b-0242-4147-8a2d-480b46aaeb1d,株式会社 翼,Plus,192-0011 東京都八王子市滝山町1-156-16,SF元データ
8e2c6d1e-44f7-4186-a86c-5912fdb9890d,株式会社 昇龍総建,Plus,354-0015 埼玉県富士見市東みずほ台1-2-8-202,高（名前+都道府県+市区）
,株式会社 鈴木工務店,Plus,299-2117 千葉県安房郡鋸南町勝山353,未マッチ
6d71a139-6324-4b43-afed-626b8f62602c,株式会社 濵田工業,Plus,290-0141 千葉県市原市ちはら台東8-10-14,SF元データ
a5e45a7b-a92a-4915-b780-26d8f8b418c4,貴建設 株式会社,Plus,847-0074 佐賀県唐津市和多田先石8-21,SF元データ
9cdd9614-dcb2-447b-aa1f-683e53380a07,扇断熱工業 株式会社,Plus,704-8126 岡山県岡山市東区西大寺浜602-9,SF元データ
9d99b711-95c7-4087-9a65-657bd9943502,信栄電設 株式会社,Plus,290-0056 千葉県市原市五井6931-5,SF元データ
ff341e84-a6d1-42da-8e77-0a37456c2c04,千代田建設 株式会社,Plus,731-1502 広島県山県郡北広島町蔵迫甲75,SF元データ
35528750-d314-4065-8bd2-2d800ae60f3d,大平工業 株式会社,Plus,251-0044 神奈川県藤沢市辻堂太平台1-3-19,SF元データ
490a936a-c740-45e3-8d1a-d5de4aa8d233,塚本建設 株式会社,Plus,376-0121 群馬県桐生市新里町新川298-1,SF元データ
69ca127b-b152-4403-9df8-d2888fa1d13d,東武サービス 株式会社,Plus,272-0804 千葉県市川市南大野3-4-7 東武ビル 3F,SF元データ
8e0e87a4-6bbb-4928-8e2d-52550d0e730c,日東機工 株式会社,Plus,416-0946 静岡県富士市五貫島1000-1,SF元データ
b0bb4647-7ad5-422b-96c4-2bd18cfa8426,株式会社 フクタハウス,Plus,501-3253 岐阜県関市栄町5-17-1,SF元データ
,有限会社 タテヌマテクノ,Plus,326-0333 栃木県足利市福居町1720-1,未マッチ
13647134-32e4-48cd-b75e-16db845e384f,有限会社 ツカサ,Plus,331-0064 埼玉県さいたま市西区佐知川152-1,SF元データ
051c82f1-f07c-418d-95cf-895c21418e70,株式会社 MGS,Plus,501-6317 岐阜県羽島市上中町午北332,SF元データ
5fb43c85-5ae3-46e3-b2b9-4650f7da4a24,橋本建設 株式会社,Plus,652-0803 兵庫県神戸市兵庫区大開通7-1-21,SF元データ
82085e3f-5362-4249-b25d-f4a01cdfb6fe,株式会社 蜷川電設,Plus,287-0003 千葉県香取市佐原イ3505,SF元データ
e173c1fc-1c28-4f82-bc76-42bdbf0e7efc,株式会社 亀谷工務店,Plus,239-0801 神奈川県横須賀市馬堀海岸4-1-12-202,SF元データ
07fdd0c8-bca8-41d0-8813-6a5da16e4a7e,株式会社 甲陽商会,Plus,658-0048 兵庫県神戸市東灘区御影郡家1-3-4,SF元データ
0267095d-a996-4cbd-893d-5b8c39987bf7,株式会社 平沼電設,Plus,311-1504 茨城県鉾田市安房2158-374,SF元データ
d72d038b-1d99-4f89-807b-1a4f586d3b76,株式会社 ハイイ工業,Plus,467-0856 愛知県名古屋市瑞穂区新開町10-1,SF元データ
c50b0c38-382e-4bd0-8e34-cddae897d8d2,あーち 株式会社,Plus,521-0003 滋賀県米原市入江212-14,SF元データ
2904ffe4-80be-4025-a379-99acfff2c89e,株式会社 NKコーポレーション,Plus,105-0012 東京都港区芝大門2-12-6 ダイアパレス芝大門 901,SF元データ
d0033568-ce6a-43f5-b4c0-9d3a5258a520,川津工務店 株式会社,Plus,154-0017 東京都世田谷区世田谷4-5-6,SF元データ
6522cdf9-0a35-4d84-b360-361cb20295fa,株式会社 東和,Plus,861-8041 熊本県熊本市東区戸島1-8-27,SF元データ
ff8094df-f65c-4b18-b43f-a0bd247ab08f,有限会社 テップ,Plus,981-1105 宮城県仙台市太白区西中田5-17-8-203,SF元データ
0a3f9c4d-ab16-4b8c-9a79-732129e1ee51,株式会社 令和プラント,Plus,838-0814 福岡県朝倉郡筑前町高田2529-7,SF元データ
c8184439-ddbf-41a0-ab0c-5ad9d944f204,株式会社 中舘工業,Plus,274-0801 千葉県船橋市高野台2-2-17,SF元データ
aa4f85ec-4136-4d10-8180-c6e748343e86,株式会社 テンマ,Plus,577-0065 大阪府東大阪市高井田中3-12-17,SF元データ
a2697312-2cba-49c3-84a7-7c73fd77cb29,ワタヨシ建設 株式会社,Plus,960-1102 福島県福島市永井川光白30-11,SF元データ
42f2c409-43d8-49d4-8eed-46bdef3fd545,佐原工務店 株式会社,Plus,221-0856 神奈川県横浜市神奈川区三ツ沢上町18-10,SF元データ
1b11acbb-d034-4253-907b-2460fac8d77e,テックワークス 株式会社,Plus,485-0048 愛知県小牧市間々本町54-1,SF元データ
af483dd8-4e83-48f6-8a4e-61501261bd12,株式会社 ぷらすホーム,Plus,194-0022 東京都町田市森野6-358-3 原銘ビル 2F,SF元データ
0cbad436-8384-4951-b09a-6a54aa842363,株式会社 WorkUda,Plus,811-1355 福岡県福岡市南区桧原7-22-5,SF元データ
6260c445-f5fd-40a8-a0db-c2043680bc47,有限会社 藤倉保温工業,Plus,326-0338 栃木県足利市福居町666-2,SF元データ
00c3b74e-dd25-4c47-9583-03c69cd4d61e,株式会社 至誠,Plus,197-0827 東京都あきる野市油平79-11,SF元データ
1a166a63-e54b-4326-a13c-937c9247cbe0,株式会社 NextOne,Plus,577-0826 大阪府東大阪市大蓮北4-8-34,SF元データ
cbf470ac-6c3f-4c7c-ac34-e3c487adf602,有限会社 金子建設,Plus,210-0852 神奈川県川崎市川崎区鋼管通1-14-8,SF元データ
65734a0a-59a6-405b-b17b-fd11150fdc20,株式会社 鳶酒井組,Plus,359-1163 埼玉県所沢市西狭山ヶ丘2-3166-6,SF元データ
71082cbd-de33-4303-82fc-88e32b864d4b,株式会社 ティ・アイ・シー,Plus,611-0041 京都府宇治市槇島町吹前17-1,SF元データ
d5d12010-2184-44ba-a7ba-0b5e854ca3d9,ヨネハラ空設 株式会社,Plus,370-2316 群馬県富岡市富岡2182-5,SF元データ
0049cd75-d5b8-49ec-a2aa-e589e0a7bcd6,株式会社 長谷川造園,Plus,276-0004 千葉県八千代市島田台741-68,SF元データ
19a4eb03-416a-4a76-8706-27bf57b136f5,株式会社 F.create,Plus,224-0015 神奈川県横浜市都筑区牛久保西2-25 B106,SF元データ
4b26475e-1cad-4a6f-ae26-4d9fc5d9affa,株式会社 AIM,Plus,359-0025 埼玉県所沢市上安松555-1 205,SF元データ
c18d38ca-a6e2-4ddb-a844-ae872afa9b0f,株式会社 粟野工業,Plus,277-0931 千葉県柏市藤ケ谷1201-14,SF元データ
b143270a-7d5f-4f61-9e83-9196e3bfce89,小原塗装,Plus,567-0015 大阪府茨木市西太田町20-2,SF元データ
6555b07d-d532-43ca-8b76-d1a2fce11533,松下総建,Plus,598-0021 大阪府泉佐野市日根野3233-4,SF元データ
cd230296-1334-4cc1-8dd3-2484aa36ba1f,株式会社 HOKUSHIN-EBA,Plus,336-0025 埼玉県さいたま市南区文蔵4-12-1,SF元データ
d91e0c28-d0a1-4ff7-82cc-13a0b04cb9a9,株式会社 グラフト,Plus,619-0241 京都府相楽郡精華町祝園榊ヶ坪5,SF元データ
44a66ba3-1e16-4037-9ee7-26e7d9dd5e24,株式会社 日泉技工,Plus,321-1425 栃木県日光市和泉247-2,SF元データ
27299569-3124-4942-a1be-019375d61794,THI DA 株式会社,Plus,352-0012 埼玉県新座市畑中1-22-6,SF元データ
af64e676-1525-481e-8bd6-f8b21e54e7eb,株式会社 ワイズファクトリー,Plus,181-0015 東京都三鷹市大沢6-2-8,高（名前+都道府県+市区）
,有限会社 コーシン,Plus,462-0063 愛知県名古屋市北区丸新町253,未マッチ
,有限会社 おが建,Plus,333-0844 埼玉県川口市上青木6-23-24,未マッチ
c3116d29-8495-4870-a267-81f52fcb8e57,柏和設備 株式会社,Plus,403-0004 山梨県富士吉田市下吉田6-21-30,SF元データ
aecebaef-0dea-4112-86f3-7b24cd9ea84f,一恵住宅サービス 株式会社,Plus,192-0004 東京都八王子市加住町1-253-1,高（名前+都道府県+市区）
451471ec-4dd0-42dc-9839-ca0cda1f0b87,菱洋 株式会社,Plus,101-0021 東京都千代田区外神田2-2-17 喜助お茶の水ビル 9F91号室,SF元データ
3159248a-a4b3-466d-94cd-edf3a768b8d4,エクステリアクローバー 株式会社,Plus,252-0821 神奈川県藤沢市用田1132-6,SF元データ
,ロート・ルーターサービス 株式会社 城南,Plus,143-0012 東京都大田区大森東2-1-4,未マッチ
,有限会社 日照プラント工業,Plus,311-1312 茨城県東茨城郡大洗町神山町1062-1,未マッチ
6e4f648a-6623-4698-875d-d8a1ea7879d9,株式会社 宝建設,Plus,811-0321 福岡県福岡市東区西戸崎6-4-21,SF元データ
52eafde1-a694-419f-97b0-7acd0883905f,桑路建塗 株式会社,Plus,679-2336 兵庫県神崎郡市川町沢115-2,高（名前+都道府県+市区）
f3a2420d-577f-428f-b847-0369285fc90b,株式会社 明之興業,Plus,134-0085 東京都江戸川区南葛西1-4-23,SF元データ
6693939f-c502-4260-9a91-19b76b5a2141,株式会社 エイワークス,Plus,121-0051 東京都足立区神明2-8-27,SF元データ
a5b190e3-8dac-4bc4-a84c-874f18bdaeef,株式会社 ホーム住工,Plus,041-0806 北海道函館市美原4-2-20,高（名前+都道府県+市区）
,日本内装 株式会社,Plus,534-0014 大阪府大阪市都島区都島北通2-10-29,未マッチ
00beda84-4615-4996-92c3-0cb99f50315f,株式会社 安藤,Plus,373-0015 群馬県太田市東新町572,高（名前+都道府県+市区）
30c8c8a8-3fca-49f2-97cb-b55d81858fc7,株式会社 植田興業,Plus,954-0067 新潟県見附市葛巻町1197-1,高（名前+都道府県+市区）
b1462c5b-98b9-49c1-9e05-6f0a19772204,株式会社 愛羽冷熱工業,Plus,239-0843 神奈川県横須賀市津久井2-24-25 1F,SF元データ
7d0082a9-f60f-4d04-9d59-26dc68db5fee,株式会社 LifAct,Plus,238-0315 神奈川県横須賀市林4-441,SF元データ
12cd5fc7-2c1e-487e-ae6f-e3d854dc7b10,株式会社 フェイス,Plus,332-0016 埼玉県川口市幸町3-8-46-801,高（名前+都道府県+市区）
,有限会社 新原工務店,Plus,590-0079 大阪府堺市堺区新町2-4 小山電ビル,未マッチ
9029306d-c0ca-43b6-9b8b-24ad14936d3e,新栄重機土木 株式会社,Plus,232-0071 神奈川県横浜市南区永田北3-40-12,SF元データ
aa52c770-4bb2-4c4e-b534-44b1f1cf949a,株式会社 土屋重量機設,Plus,336-0043 埼玉県さいたま市南区円正寺511-20,高（名前+都道府県+市区）
c180eee1-29a0-4476-8a18-e3f40303fe40,株式会社 IRONANO工業,Plus,347-0125 埼玉県加須市上崎1606-1,高（名前+都道府県+市区）
574b40eb-bc8c-4139-be86-9947a7ed6007,株式会社 マツモト設備,Plus,360-0103 埼玉県熊谷市小江川2117-3,高（名前+都道府県+市区）
657de55f-5a3c-486e-bc73-a3d7e7aaacf7,季鋏造園土木,Plus,573-1167 大阪府枚方市甲斐田町8-13,高（名前+都道府県+市区）
,勝電設 株式会社,Plus,253-0018 神奈川県茅ヶ崎市室田2-8-61,未マッチ
e41da9e4-7071-4237-99fd-7b398e8b5fed,有限会社 見澤園,Plus,350-1155 埼玉県川越市大字下赤坂619,SF元データ
,株式会社 達美建設,Plus,719-3156 岡山県真庭市関167,未マッチ
3c9842b0-c06e-4352-836d-cf1c9e67349c,株式会社 SKネオ,Plus,283-0041 千葉県東金市広瀬591-99,高（名前+都道府県+市区）
ccc7a1ee-6192-4ae4-af13-e8c4070a3e14,株式会社 アレックスソーラージャパン,Plus,712-8043 岡山県倉敷市広江2-13-43,高（名前+都道府県+市区）
b042d429-9f30-440c-a3e3-f096ac84625c,有限会社 美清園,Plus,519-0321 三重県鈴鹿市深溝町1720,高（名前+都道府県+市区）
1a329897-a952-4887-9c69-75278db17dcf,株式会社 竹内設備管理,Plus,251-0037 神奈川県藤沢市鵠沼海岸6-8-27,高（名前+都道府県+市区）
6bdd873d-79a6-43e8-bdcc-bc47a3cdcb81,雄英工業 株式会社,Plus,640-0112 和歌山県和歌山市西庄214-1,高（名前+都道府県+市区）
3dbe7f64-92de-41f6-b362-fcf2206708d6,株式会社 新和,Plus,210-0804 神奈川県川崎市川崎区藤崎1-13-12-303,高（名前+都道府県+市区）
f0b806f8-5667-4c07-b7a1-b88a07b54c0c,有限会社 カクイチ,Plus,299-1121 千葉県君津市常代1-18-26,SF元データ
228bcb84-eac1-417b-a159-4a677cb59449,株式会社 山本電設,Plus,411-0802 静岡県三島市東大場1-31-10,高（名前+都道府県+市区）
8054b8d5-524c-4fa5-8671-51162e67c91f,株式会社 福井組,Plus,563-0341 大阪府豊能郡能勢町宿野271,SF元データ
0a2bccbc-a58f-47d1-8be2-b69d3d592973,髙畠商事 株式会社,Plus,576-0041 大阪府交野市私部西5-15-9,中（名前+都道府県）
e4a3dee2-9c6e-46ab-beed-9a7e75d708fc,有限会社 小峰電気,Plus,190-1221 東京都西多摩郡瑞穂町箱根ケ崎2483,高（名前+都道府県+市区）
73a3b544-4a34-442c-9406-75d05d47c1b8,株式会社 森田設備,Plus,607-8126 京都府京都市山科区大塚元屋敷町62-30,高（名前+都道府県+市区）
b939d97e-4aad-49bd-8722-d988d1ca308d,株式会社 須崎,Plus,336-0021 埼玉県さいたま市南区別所3-13-17,高（名前+都道府県+市区）
9f8e6e17-20e7-4644-92b2-adc2db54b2c5,和田電気工事 株式会社,Plus,327-0003 栃木県佐野市大橋町2032-1,高（名前+都道府県+市区）
b8b401db-159b-4cd7-9018-09112f4bd1d0,株式会社 KDEN,Plus,278-0001 千葉県野田市目吹236-3,高（名前+都道府県+市区）
9de23034-781f-4fbb-834e-497b63beb5f1,有限会社 サワケン,Plus,357-0047 埼玉県飯能市落合358,高（名前+都道府県+市区）
,株式会社 防災通信工業,Plus,277-0863 千葉県柏市豊四季328-10,未マッチ
404357ec-bdf4-4229-8e3d-ecf66ab6663d,株式会社 アコルデ,Plus,259-0131 神奈川県中郡二宮町中里1277-4,高（名前+都道府県+市区）
08c689e3-0c36-4d91-8c0b-05bfd8136b4c,株式会社 村上電気工業所,Plus,793-0042 愛媛県西条市喜多川317-8,高（名前+都道府県+市区）
1643ed2d-2289-4adb-b788-d75af28934e3,正和興業 株式会社,Plus,111-0023 東京都台東区橋場1-23-10,高（名前+都道府県+市区）
4351be15-827e-4e98-99b6-6686328c80f4,株式会社 サンリード・テックサービス,Plus,577-0012 大阪府東大阪市長田東1-6-33 COMPLAZA長田東 C号,高（名前+都道府県+市区）
162921d9-c082-451c-886e-fcee344cc881,株式会社 大志電工,Plus,237-0068 神奈川県横須賀市追浜本町1-76-11,高（名前+都道府県+市区）
bb167ab3-4556-4761-9329-6fa6f1f4746e,有限会社 太建,Plus,464-0086 愛知県名古屋市千種区萱場2-12-20,高（名前+都道府県+市区）
0dda527b-7fd7-4e83-b111-fefa203b8106,株式会社 墨藤設備,Plus,131-0031 東京都墨田区墨田4-41-18,高（名前+都道府県+市区）
f29a75a7-d6d8-4cad-aadd-9cb86c4b2676,超高圧関東 株式会社,Plus,314-0116 茨城県神栖市奥野谷6293-1,高（名前+都道府県+市区）
948ddc43-40a5-471b-b9c2-cd34cd8ce76c,株式会社 双葉クリエーション,Plus,433-8118 静岡県浜松市中央区高丘西3-16-3,高（名前+都道府県+市区）
29f2f78e-35db-4bcf-98fa-c1ad1a404779,有限会社 カネコ建装,Plus,133-0041 東京都江戸川区上一色3-1-1,高（名前+都道府県+市区）
9a11fd97-41c4-44bf-849c-053b062fa2a0,株式会社 苅山設備,Plus,239-0836 神奈川県横須賀市内川1-2-23,高（名前+都道府県+市区）
0b31916a-ccf7-4df1-a610-a4ea936d6965,日舗建設 株式会社,Plus,227-0053 神奈川県横浜市青葉区さつきが丘25-5,高（名前+都道府県+市区）
36cf56e1-6642-4ba3-a8a9-8e3ec4d44fd9,株式会社 ケーネクスト,Plus,164-0012 東京都中野区本町5-29-11-101,高（名前+都道府県+市区）
7a6e6bb2-11fb-4b26-9c75-028ab193d853,株式会社 YB,Plus,333-0811 埼玉県川口市戸塚3-37-11 アライビル 201号,高（名前+都道府県+市区）
f983a956-5d2a-4d31-9d7e-9b786dba2e22,オーエス技研 株式会社,Plus,187-0011 東京都小平市鈴木町1-219 REISE 5号室,高（名前+都道府県+市区）
9ff4a7d2-21e9-43e0-beaf-602516314da1,カセツ工機 株式会社,Plus,244-0004 神奈川県横浜市戸塚区小雀町965-3,高（名前+都道府県+市区）
aecfd345-b232-4e3f-9301-24e6bdf27f0b,株式会社 Respace,Plus,630-8133 奈良県奈良市大安寺3-11-40-1,高（名前+都道府県+市区）
a867c209-5fb7-4939-ad69-e4c2a4bc41c7,株式会社 ネクスパイア,Plus,380-0861 長野県長野市横沢町753-1 ネクストビル 2F,高（名前+都道府県+市区）
38ebd0ed-b1ec-4b6e-9e8e-809591f80bda,株式会社 なないろハウジング,Plus,370-2314 群馬県富岡市田篠752-1,高（名前+都道府県+市区）
b34b2e68-8f69-472b-86ed-013b6ed87db1,株式会社 吉川電気工事,Plus,330-0071 埼玉県さいたま市浦和区上木崎6-36-9-202号室,高（名前+都道府県+市区）
bd760fe5-5cdf-466d-bc93-4997f9a95ca8,株式会社 チュウセツシステム,Plus,728-0011 広島県三次市十日市西1-3-6,高（名前+都道府県+市区）
37d54593-6c48-467b-b522-91cf95fd486f,株式会社 ベイテック,Plus,299-0107 千葉県市原市姉崎海岸101,高（名前+都道府県+市区）
49cca21b-71a1-47bc-a038-d574c87f7e85,株式会社 岡田建設,Plus,244-0802 神奈川県横浜市戸塚区平戸3-55-13,高（名前+都道府県+市区）
efd79b2a-7042-478a-a7cb-59f0e38da977,株式会社 アイテール,Plus,133-0051 東京都江戸川区北小岩3-5-3 コーポ睦 101,高（名前+都道府県+市区）
2fc0537e-d81c-40ac-aec1-8e001a532398,國分住設 株式会社,Plus,243-0036 神奈川県厚木市長谷1331-75,高（名前+都道府県+市区）
289c1f22-8990-455d-9f3b-04249e3fa85a,多久建設 株式会社,Plus,846-0002 佐賀県多久市北多久町大字小侍1152,高（名前+都道府県+市区）
3b3126ed-38a9-43fd-809f-aa753b8c0f0d,株式会社 イースター,Plus,132-0021 東京都江戸川区中央3-7-10-2B,高（名前+都道府県+市区）
94be7270-89ac-4ec1-a87b-5d844e20a65c,有限会社 木村興業,Plus,197-0815 東京都あきる野市二宮東1-1-7,高（名前+都道府県+市区）
8fc9c752-2f78-45cf-bc1e-90288c08bca8,株式会社 三田組,Plus,340-0831 埼玉県八潮市南後谷878-5,高（名前+都道府県+市区）
ab87ceee-f5a4-48ee-b28b-c8159b5465f8,株式会社 丑山工業,Plus,388-8014 長野県長野市篠ノ井塩崎6594-1 山二ビル 3F,高（名前+都道府県+市区）
a165c48e-d53f-471b-8022-730a53b91a99,株式会社 アイツー・ネット,Plus,804-0082 福岡県北九州市戸畑区新池3-4-11,高（名前+都道府県+市区）
529af466-0ab7-4b5d-be5c-11b81befd27c,アリスト 株式会社,Plus,194-0201 東京都町田市上小山田町393-8,SF元データ
b5dcd4b8-fe39-48bb-b40b-cd6d06473273,有限会社 竹花工業,Plus,982-0032 宮城県仙台市太白区富沢2-17-53-401,高（名前+都道府県+市区）
09770ca5-18ab-4d0a-a527-56bf12dd71b2,株式会社 アカイケ工業,Plus,230-0078 神奈川県横浜市鶴見区岸谷2-2-5,高（名前+都道府県+市区）
703642f2-cad1-42a4-8ddd-7d4d597af650,有限会社 アルプス塗装工業,Plus,252-0244 神奈川県相模原市中央区田名5666,高（名前+都道府県+市区）
a3804061-c1a2-4d5e-9ecc-1885154c791e,西連地 建設,Plus,311-0104 茨城県那珂市堤666-13,SF元データ
0c1e2152-6050-41fd-b5d3-0b62c65b0daf,株式会社 福冨,Plus,520-2144 滋賀県大津市大萱1-19-19-202 シルバーハイツ瀬田 2F,高（名前+都道府県+市区）
e0052fcc-00ad-4343-b7ca-667dd9de9443,FIVESTAR,Plus,351-0114 埼玉県和光市本町31-3-303 CIハイツ,SF元データ
6a8db64e-eac3-4964-a314-e46e18fa7482,株式会社 都テクノス,Plus,611-0011 京都府宇治市五ケ庄戸ノ内27-18,低（名前のみ）
ecfbadd3-1423-4e82-ae48-c8892ef3e988,沢井保温工業 株式会社,Plus,742-0344 山口県岩国市玖珂町4055-2,高（名前+都道府県+市区）
06d36084-5145-4467-8ca5-c203624ec18f,日産設備 株式会社,Plus,232-0053 神奈川県横浜市南区井土ケ谷下町1-1,高（名前+都道府県+市区）
a2b15428-f91c-43b2-bd52-a2c9f82a3b55,株式会社 みのり建設,Plus,183-0034 東京都府中市住吉町3-83-1,高（名前+都道府県+市区）
